"TreeDepth","PID","Process","Offset","HandleValue","Type","GrantedAccess","Name"
0,6632,"setup.exe","0x868fd4c90430","0x3d0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c90510","0x3d4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6ebe0","0x3d8","Event","0x1f0003",""
0,6632,"setup.exe","0xa486d2c4b870","0x3dc","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETERS\INTERFACES"
0,6632,"setup.exe","0xa486d2c4b470","0x3e0","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP6\PARAMETERS\INTERFACES"
0,6632,"setup.exe","0x868fd508c080","0x3e8","Thread","0x1fffff","Tid 5360 Pid 6632"
0,6632,"setup.exe","0x868fd04d0080","0x3ec","Thread","0x1fffff","Tid 880 Pid 6632"
0,6632,"setup.exe","0x868fd3e4e1e0","0x3f0","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd3e4d960","0x3f4","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd39a7b42","0x3fc","FilterCommunicationPort","0x1f0003",""
0,6632,"setup.exe","0xa486d461eae0","0x41c","Token","0x8",""
0,6632,"setup.exe","0xa486ce5beaf0","0x438","Token","0x8",""
0,6632,"setup.exe","0xa486ce5beaf0","0x44c","Token","0xf00ff",""
