"TreeDepth","Offset","Name","Size"
0,"0x868fd0615a30","\Windows\SysWOW64\nsi.dll",216
0,"0x868fd0615bc0","\Windows\SysWOW64\imm32.dll",216
0,"0x868fd0615d50","\Windows\SysWOW64\gdi32.dll",216
0,"0x868fd0615ee0","\Windows\SysWOW64\gdi32full.dll",216
0,"0x868fd0616200","\Windows\SysWOW64\msvcrt.dll",216
0,"0x868fd0616390","\Windows\SysWOW64\windows.storage.dll",216
0,"0x868fd0616520","\Windows\SysWOW64\oleaut32.dll",216
0,"0x868fd06166b0","\Windows\SysWOW64\kernel32.dll",216
0,"0x868fd0616840","\Windows\SysWOW64\comdlg32.dll",216
0,"0x868fd06169d0","\Windows\SysWOW64\ucrtbase.dll",216
0,"0x868fd0616b60","\Windows\SysWOW64\sspicli.dll",216
0,"0x868fd0616cf0","\Windows\SysWOW64\cryptbase.dll",216
0,"0x868fd0616e80","\ProtectedPrefix",216
0,"0x868fd0617330","\Windows\SysWOW64\normaliz.dll",216
0,"0x868fd06174c0","\Windows\SysWOW64\setupapi.dll",216
0,"0x868fd06177e0","\Windows\SysWOW64\wintrust.dll",216
0,"0x868fd0617970","\Windows\SysWOW64\GdiPlus.dll",216
0,"0x868fd0617b00","\Windows\SysWOW64\ws2_32.dll",216
0,"0x868fd0617c90","\Windows\SysWOW64\imagehlp.dll",216
0,"0x868fd0617e20","\Windows\SysWOW64\win32u.dll",216
0,"0x868fd0618140","\Windows\SysWOW64\sechost.dll",216
0,"0x868fd06182d0","\ProtectedPrefix\Administrators",216
0,"0x868fd0618460","\ProtectedPrefix\LocalService",216
0,"0x868fd06185f0","\ProtectedPrefix\LocalService",216
0,"0x868fd0618780","\ProtectedPrefix\NetWorkService",216
0,"0x868fd0618aa0","\ProtectedPrefix\Administrators",216
0,"0x868fd0618c30","\ProtectedPrefix\NetWorkService",216
0,"0x868fd0618dc0","\ProtectedPrefix",216
0,"0x868fd06f30d0","\Windows\System32\sxssrv.dll",216
0,"0x868fd06f3260","\Users\kaul\Desktop\Memory Capture\DumpIt.exe",216
0,"0x868fd06f3580","\Windows\System32\winsrv.dll",216
0,"0x868fd06f3710","\Windows\System32\en-US\win32kbase.sys.mui",216
0,"0x868fd06f38a0","\$Directory",216
0,"0x868fd06f3a30","\Windows\System32",216
0,"0x868fd06f3bc0","\Windows\System32\wuuhext.dll",216
0,"0x868fd06f3d50","\Windows\System32\services.exe",216
0,"0x868fd06f4200","\Windows\System32",216
0,"0x868fd06f46b0","\Sessions\0\AppContainerNamedObjects",216
0,"0x868fd06f4840","\Windows\System32\csrsrv.dll",216
0,"0x868fd06f49d0","\CMApi",216
0,"0x868fd06f4b60","\Windows\System32\drivers\dxgmms1.sys",216
0,"0x868fd06f4cf0","\Windows\System32\drivers\dxgmms2.sys",216
0,"0x868fd06f4e80","\Windows\System32\wininitext.dll",216
0,"0x868fd06f51a0","\Windows\System32\csrss.exe",216
0,"0x868fd06f5330","\Windows\System32\winsrvext.dll",216
0,"0x868fd06f54c0","\Windows\System32\en-US\csrss.exe.mui",216
0,"0x868fd06f5650","\Windows\System32\locale.nls",216
0,"0x868fd06f57e0","\Windows\System32\wininit.exe",216
0,"0x868fd06f5970","\Windows\System32\sspicli.dll",216
0,"0x868fd06f5c90","\Windows\System32\userenv.dll",216
0,"0x868fd06f5e20","\Windows\System32\basesrv.dll",216
0,"0x868fd06f6140","\Windows\System32\en-US\winsrv.dll.mui",216
0,"0x868fd06f6780","\Windows\System32\KBDUS.DLL",216
0,"0x868fd075a0d0","\$Directory",216
0,"0x868fd075a260","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Basic~sr-latn-rs~1.0.mum",216
0,"0x868fd075a3f0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Basic~ta-in~1.0.mum",216
0,"0x868fd075a580","\Windows\System32\en-US\user32.dll.mui",216
0,"0x868fd075a710","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Basic~te-in~1.0.mum",216
0,"0x868fd075a8a0","\Windows\System32\syncutil.dll",216
0,"0x868fd075aa30","\Windows\INF\setupapi.dev.log",216
0,"0x868fd075abc0","\Windows\System32",216
0,"0x868fd075b6b0","\ProgramData\USOShared\Logs\System\UpdateSessionOrchestration_Temp.1.etl",216
0,"0x868fd075b840","\$Directory",216
0,"0x868fd075b9d0","\Windows\System32\MCCSPal.dll",216
0,"0x868fd075bb60","\Windows\System32\winlogon.exe",216
0,"0x868fd075be80","\$Directory",216
0,"0x868fd075c1a0","\CMNotify",216
0,"0x868fd075c330","\chrome.6324.29.202228128",216
0,"0x868fd075c4c0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Basic~sv-se~1.0.mum",216
0,"0x868fd075c7e0","\Windows\WinSxS\amd64_dual_ntprint4.inf_31bf3856ad364e35_10.0.17763.1_none_3b13f7c4da61a00d\Amd64\PWGRRenderFilter.dllone_3b13f7c4da61a00d\Amd64_PWGRRenderFilter.dll",216
0,"0x868fd075cb00","\CMNotify",216
0,"0x868fd075cc90","\Windows\System32\wups.dll",216
0,"0x868fd075ce20","\Windows\System32\UserDataPlatformHelperUtil.dll",216
0,"0x868fd075d140","\Windows\System32\cdd.dll",216
0,"0x868fd075d2d0","\Windows\System32\sxs.dll",216
0,"0x868fd075d460","\InitShutdown",216
0,"0x868fd075d5f0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Basic~tg-cyrl-tj~1.0.mum",216
0,"0x868fd075d780","\$Directory",216
0,"0x868fd075d910","\Windows\WinSxS\Manifests\amd64_dual_vhdmp.inf_31bf3856ad364e35_10.0.17763.1_none_7f96362551be6dcd.manifest",216
0,"0x868fd075daa0","\InitShutdown",216
0,"0x868fd075dc30","\InitShutdown",216
0,"0x868fd078d0e0","\Windows\System32",216
0,"0x868fd078d270","\Windows\WinSxS\amd64_dual_ntprint4.inf_31bf3856ad364e35_10.0.17763.1_none_3b13f7c4da61a00d\Amd64\PDFRenderFilter.dllnone_3b13f7c4da61a00d\Amd64_PDFRenderFilter.dll",216
