"TreeDepth","Offset","Base","Size","Name","Path","File output"
0,"0x868fd00a6d50","0xf80135ba0000","0x94000","csc.sys","\SystemRoot\system32\drivers\csc.sys","Disabled"
0,"0x868fd00a7090","0xf80135c60000","0xd000","npsvctrig.sys","\SystemRoot\System32\drivers\npsvctrig.sys","Disabled"
0,"0x868fd00a7230","0xf80135980000","0x51000","netbt.sys","\SystemRoot\System32\DRIVERS\netbt.sys","Disabled"
0,"0x868fd00a73d0","0xf80135d10000","0x4e000","ahcache.sys","\SystemRoot\system32\DRIVERS\ahcache.sys","Disabled"
0,"0x868fd00a7570","0xf80135f70000","0xb000","vmgencounter.sys","\SystemRoot\System32\drivers\vmgencounter.sys","Disabled"
0,"0x868fd00a78b0","0xf80135df0000","0x1e000","winhvr.sys","\SystemRoot\System32\drivers\winhvr.sys","Disabled"
0,"0x868fd00a7a50","0xf80135ef0000","0x4d000","vm3dmp.sys","\SystemRoot\system32\DRIVERS\vm3dmp.sys","Disabled"
0,"0x868fd00a7bf0","0xf80136010000","0x75000","ks.sys","\SystemRoot\System32\drivers\ks.sys","Disabled"
0,"0x868fd00a7d90","0xf80135d60000","0x84000","Vid.sys","\SystemRoot\System32\drivers\Vid.sys","Disabled"
0,"0x868fd00adb50","0xf80135f40000","0x25000","E1G6032E.sys","\SystemRoot\System32\drivers\E1G6032E.sys","Disabled"
0,"0x868fd00d28a0","0x9919dc8a0000","0x8b000","win32k.sys","\SystemRoot\System32\win32k.sys","Disabled"
0,"0x868fd00f51e0","0xf80135c90000","0xa000","gpuenergydrv.sys","\SystemRoot\System32\drivers\gpuenergydrv.sys","Disabled"
0,"0x868fd00f5370","0xf80135cf0000","0x14000","bam.sys","\SystemRoot\system32\drivers\bam.sys","Disabled"
0,"0x868fd00f5e60","0xf80135e40000","0x15000","umbus.sys","\SystemRoot\System32\drivers\umbus.sys","Disabled"
0,"0x868fd00f6310","0xf80135e30000","0xd000","kdnic.sys","\SystemRoot\System32\drivers\kdnic.sys","Disabled"
0,"0x868fd00f6630","0xf80135e90000","0x13000","kbdclass.sys","\SystemRoot\System32\drivers\kbdclass.sys","Disabled"
0,"0x868fd00f67c0","0xf80135eb0000","0x9000","vmmouse.sys","\SystemRoot\System32\drivers\vmmouse.sys","Disabled"
0,"0x868fd00f6950","0xf80135ca0000","0x2c000","dfsc.sys","\SystemRoot\System32\Drivers\dfsc.sys","Disabled"
0,"0x868fd00f6ae0","0xf80135ec0000","0x13000","mouclass.sys","\SystemRoot\System32\drivers\mouclass.sys","Disabled"
0,"0x868fd00f6c70","0xf80135e60000","0x21000","i8042prt.sys","\SystemRoot\System32\drivers\i8042prt.sys","Disabled"
0,"0x868fd0207570","0xf80136f50000","0x20000","raspptp.sys","\SystemRoot\System32\drivers\raspptp.sys","Disabled"
0,"0x868fd02ec500","0xf80135f90000","0x10000","BATTC.SYS","\SystemRoot\System32\drivers\BATTC.SYS","Disabled"
0,"0x868fd02ecb40","0xf80135f80000","0xf000","CmBatt.sys","\SystemRoot\System32\drivers\CmBatt.sys","Disabled"
0,"0x868fd02eccd0","0xf80136090000","0xe000","rdpbus.sys","\SystemRoot\System32\drivers\rdpbus.sys","Disabled"
0,"0x868fd02ed310","0xf80136000000","0xc000","swenum.sys","\SystemRoot\System32\DriverStore\FileRepository\swenum.inf_amd64_31f554b660026323\swenum.sys","Disabled"
0,"0x868fd02edae0","0xf80135fb0000","0x3e000","intelppm.sys","\SystemRoot\System32\drivers\intelppm.sys","Disabled"
0,"0x868fd0318db0","0xf80135540000","0x33a000","dxgkrnl.sys","\SystemRoot\System32\drivers\dxgkrnl.sys","Disabled"
0,"0x868fd0327630","0xf801354a0000","0x2e000","cdrom.sys","\SystemRoot\System32\drivers\cdrom.sys","Disabled"
0,"0x868fd03277c0","0xf801354f0000","0xe000","tbs.sys","\SystemRoot\system32\drivers\tbs.sys","Disabled"
0,"0x868fd0327c70","0xf801353e0000","0x1c000","crashdmp.sys","\SystemRoot\System32\Drivers\crashdmp.sys","Disabled"
0,"0x868fd0329250","0xf80135500000","0xa000","Null.SYS","\SystemRoot\System32\Drivers\Null.SYS","Disabled"
0,"0x868fd03293d0","0xf80135510000","0xa000","Beep.SYS","\SystemRoot\System32\Drivers\Beep.SYS","Disabled"
0,"0x868fd03299d0","0xf80135520000","0x10000","vmrawdsk.sys","\SystemRoot\system32\DRIVERS\vmrawdsk.sys","Disabled"
0,"0x868fd03e4200","0xf80135a00000","0xa6000","afd.sys","\SystemRoot\system32\drivers\afd.sys","Disabled"
0,"0x868fd04625c0","0xf801370c0000","0x6c000","WdFilter.sys","\SystemRoot\system32\drivers\wd\WdFilter.sys","Disabled"
0,"0x868fd0662520","0x9919dbd90000","0x259000","win32kbase.sys","\SystemRoot\System32\win32kbase.sys","Disabled"
0,"0x868fd067d9d0","0xf80136890000","0x14a000","HTTP.sys","\SystemRoot\system32\drivers\HTTP.sys","Disabled"
0,"0x868fd07e8dd0","0xf80136b80000","0xa000","vmmemctl.sys","\SystemRoot\system32\DRIVERS\vmmemctl.sys","Disabled"
0,"0x868fd0ce7660","0x9919dba00000","0x38b000","win32kfull.sys","\SystemRoot\System32\win32kfull.sys","Disabled"
0,"0x868fd2643620","0xf80137150000","0x18000","ndisuio.sys","\SystemRoot\system32\drivers\ndisuio.sys","Disabled"
0,"0x868fd2c95010","0x9919dc040000","0x47000","cdd.dll","\SystemRoot\System32\cdd.dll","Disabled"
0,"0x868fd2de89f0","0xf80136710000","0x2d000","wcifs.sys","\SystemRoot\system32\drivers\wcifs.sys","Disabled"
0,"0x868fd2f17d20","0xf80136820000","0x1b000","rspndr.sys","\SystemRoot\system32\drivers\rspndr.sys","Disabled"
0,"0x868fd2f18e50","0xf801367e0000","0x18000","lltdio.sys","\SystemRoot\system32\drivers\lltdio.sys","Disabled"
0,"0x868fd2f19490","0xf80136840000","0x1d000","wanarp.sys","\SystemRoot\System32\DRIVERS\wanarp.sys","Disabled"
0,"0x868fd2f1c500","0xf80136800000","0x1a000","mslldp.sys","\SystemRoot\system32\drivers\mslldp.sys","Disabled"
0,"0x868fd2f1dc70","0xf80136860000","0x2b000","winquic.sys","\SystemRoot\system32\drivers\winquic.sys","Disabled"
0,"0x868fd2f1f0c0","0xf801369e0000","0x12000","condrv.sys","\SystemRoot\System32\drivers\condrv.sys","Disabled"
0,"0x868fd2f1f890","0xf80136a30000","0x1a000","mpsdrv.sys","\SystemRoot\System32\drivers\mpsdrv.sys","Disabled"
0,"0x868fd31836d0","0xf80136c80000","0x51000","mrxsmb10.sys","\SystemRoot\system32\DRIVERS\mrxsmb10.sys","Disabled"
0,"0x868fd3183870","0xf80136f20000","0x21000","rasl2tp.sys","\SystemRoot\System32\drivers\rasl2tp.sys","Disabled"
0,"0x868fd3183a10","0xf80136e10000","0x96000","srv.sys","\SystemRoot\System32\DRIVERS\srv.sys","Disabled"
0,"0x868fd3183d50","0xf80136c60000","0x14000","mmcss.sys","\SystemRoot\system32\drivers\mmcss.sys","Disabled"
0,"0x868fd33c8a20","0xf80136ce0000","0x27000","Ndu.sys","\SystemRoot\system32\drivers\Ndu.sys","Disabled"
0,"0x868fd33c91f0","0xf80136df0000","0x14000","tcpipreg.sys","\SystemRoot\System32\drivers\tcpipreg.sys","Disabled"
0,"0x868fd3493400","0xf80136eb0000","0x1c000","rassstp.sys","\SystemRoot\System32\drivers\rassstp.sys","Disabled"
0,"0x868fd3493590","0xf80136ed0000","0x18000","NDProxy.sys","\SystemRoot\System32\DRIVERS\NDProxy.sys","Disabled"
0,"0x868fd349a610","0xf80136ef0000","0x27000","AgileVpn.sys","\SystemRoot\System32\drivers\AgileVpn.sys","Disabled"
0,"0x868fd349a7a0","0xf80136fb0000","0x3b000","ndiswan.sys","\SystemRoot\System32\drivers\ndiswan.sys","Disabled"
0,"0x868fd349b8d0","0xf80136fa0000","0xf000","ndistapi.sys","\SystemRoot\System32\DRIVERS\ndistapi.sys","Disabled"
0,"0x868fd349c0a0","0xf80136f80000","0x1c000","raspppoe.sys","\SystemRoot\System32\DRIVERS\raspppoe.sys","Disabled"
0,"0x868fd3744440","0xf80136ff0000","0x2b000","vmhgfs.sys","\SystemRoot\system32\DRIVERS\vmhgfs.sys","Disabled"
0,"0x868fd3f75470","0xf80137040000","0x9000","ad_driver.sys","\??\C:\Users\kaul\AppData\Local\Temp\ad_driver.sys","Disabled"
0,"0x868fd4cd1050","0xf80137070000","0x11000","DumpIt.sys","\??\C:\Windows\SysWOW64\Drivers\DumpIt.sys","Disabled"
0,"0x868fd56a6d90","0xf801370b0000","0xe000","wimmount.sys","\SystemRoot\system32\drivers\wimmount.sys","Disabled"
0,"0x868fd6393270","0xf80137170000","0x18000","monitor.sys","\SystemRoot\System32\drivers\monitor.sys","Disabled"
0,"0x9e80000b4470","0xf80137040000","0x9000","ad_driver.sys","\??\C:\Users\kaul\AppData\Local\Temp\ad_driver.sys","Disabled"
0,"0xf801315f48d2","0xcccccccceceb","0x4039a6","","","Disabled"
0,"0xf80131b001b7","0x518b00000000","0xffdf2505","","","Disabled"
0,"0xf80131b03a01","0x8b48fffffffe","0xccccc35f","","","Disabled"
0,"0xf80131b4814c","0xe61ce8cf8b48","0x8d48e9d1","","","Disabled"
